participant_id repetition n_correct n_responses p_correct
25 11 8 9 0.8888888888888888
25 12 9 9 1
25 13 9 9 1
25 14 9 9 1
25 15 9 9 1
25 16 9 9 1
25 17 9 9 1
25 18 9 9 1
25 19 9 9 1
25 20 9 9 1
27 1 3 9 0.3333333333333333
27 2 5 9 0.5555555555555556
27 3 1 9 0.1111111111111111
27 4 5 9 0.5555555555555556
27 5 5 9 0.5555555555555556
27 6 6 9 0.6666666666666666
27 7 6 9 0.6666666666666666
27 8 6 9 0.6666666666666666
27 9 2 9 0.2222222222222222
27 10 3 9 0.3333333333333333
27 11 5 9 0.5555555555555556
27 12 4 9 0.4444444444444444
27 13 5 9 0.5555555555555556
27 14 4 9 0.4444444444444444
27 15 4 9 0.4444444444444444
27 16 4 9 0.4444444444444444
27 17 5 9 0.5555555555555556
27 18 3 9 0.3333333333333333
27 19 4 9 0.4444444444444444
27 20 2 9 0.2222222222222222
28 1 4 9 0.4444444444444444
28 2 6 9 0.6666666666666666
28 3 8 9 0.8888888888888888
28 4 9 9 1
28 5 6 9 0.6666666666666666
28 6 9 9 1
28 7 8 9 0.8888888888888888
28 8 9 9 1
28 9 9 9 1
28 10 9 9 1
28 11 9 9 1
28 12 9 9 1
28 13 8 9 0.8888888888888888
28 14 9 9 1
28 15 9 9 1
28 16 9 9 1
28 17 9 9 1
28 18 9 9 1
28 19 9 9 1
28 20 9 9 1
33 1 4 9 0.4444444444444444
33 2 6 9 0.6666666666666666
33 3 3 9 0.3333333333333333
33 4 6 9 0.6666666666666666
33 5 8 9 0.8888888888888888
33 6 7 9 0.7777777777777778
33 7 7 9 0.7777777777777778
33 8 9 9 1
33 9 8 9 0.8888888888888888
33 10 8 9 0.8888888888888888
33 11 7 9 0.7777777777777778
33 12 7 9 0.7777777777777778
33 13 9 9 1
33 14 4 9 0.4444444444444444
33 15 9 9 1
33 16 9 9 1
33 17 8 9 0.8888888888888888
33 18 9 9 1
33 19 9 9 1
33 20 9 9 1
37 1 4 9 0.4444444444444444
37 2 4 9 0.4444444444444444
37 3 4 9 0.4444444444444444
37 4 4 9 0.4444444444444444
37 5 4 9 0.4444444444444444
37 6 8 9 0.8888888888888888
37 7 6 9 0.6666666666666666
37 8 5 9 0.5555555555555556
37 9 6 9 0.6666666666666666
37 10 9 9 1
37 11 8 9 0.8888888888888888
37 12 9 9 1
37 13 9 9 1
37 14 9 9 1
37 15 7 9 0.7777777777777778
37 16 9 9 1
37 17 9 9 1
37 18 9 9 1
37 19 9 9 1
37 20 9 9 1
38 1 6 9 0.6666666666666666
38 2 4 9 0.4444444444444444
38 3 7 9 0.7777777777777778
38 4 5 9 0.5555555555555556
38 5 7 9 0.7777777777777778
38 6 7 9 0.7777777777777778
38 7 8 9 0.8888888888888888
38 8 9 9 1
38 9 9 9 1
38 10 9 9 1
38 11 8 9 0.8888888888888888
38 12 9 9 1
38 13 9 9 1
38 14 9 9 1
38 15 9 9 1
38 16 9 9 1
38 17 9 9 1
38 18 9 9 1
38 19 9 9 1
38 20 9 9 1
40 1 5 9 0.5555555555555556
40 2 5 9 0.5555555555555556
40 3 9 9 1
40 4 7 9 0.7777777777777778
40 5 8 9 0.8888888888888888
40 6 9 9 1
40 7 9 9 1
40 8 9 9 1
40 9 9 9 1
40 10 9 9 1
40 11 9 9 1
40 12 9 9 1
40 13 9 9 1
40 14 9 9 1
40 15 9 9 1
40 16 9 9 1
40 17 9 9 1
40 18 9 9 1
40 19 9 9 1
40 20 9 9 1
41 1 7 9 0.7777777777777778
41 2 9 9 1
41 3 9 9 1
41 4 9 9 1
41 5 9 9 1
41 6 9 9 1
41 7 9 9 1
41 8 9 9 1
41 9 9 9 1
41 10 9 9 1
41 11 9 9 1
41 12 9 9 1
41 13 9 9 1
41 14 9 9 1
41 15 9 9 1
41 16 9 9 1
41 17 9 9 1
41 18 9 9 1
41 19 9 9 1
41 20 9 9 1
42 1 6 9 0.6666666666666666
42 2 6 9 0.6666666666666666
42 3 5 9 0.5555555555555556
42 4 6 9 0.6666666666666666
42 5 9 9 1
42 6 6 9 0.6666666666666666
42 7 3 9 0.3333333333333333
42 8 7 9 0.7777777777777778
42 9 7 9 0.7777777777777778
42 10 7 9 0.7777777777777778
42 11 9 9 1
42 12 6 9 0.6666666666666666
42 13 6 9 0.6666666666666666
42 14 7 9 0.7777777777777778
42 15 8 9 0.8888888888888888
42 16 7 9 0.7777777777777778
42 17 7 9 0.7777777777777778
42 18 7 9 0.7777777777777778
42 19 7 9 0.7777777777777778
42 20 5 9 0.5555555555555556
48 1 4 9 0.4444444444444444
48 2 4 9 0.4444444444444444
48 3 6 9 0.6666666666666666
48 4 3 9 0.3333333333333333
48 5 6 9 0.6666666666666666
48 6 7 9 0.7777777777777778
48 7 3 9 0.3333333333333333
48 8 7 9 0.7777777777777778
48 9 7 9 0.7777777777777778
48 10 7 9 0.7777777777777778
48 11 8 9 0.8888888888888888
48 12 9 9 1
48 13 9 9 1
48 14 9 9 1
48 15 9 9 1
48 16 9 9 1
48 17 9 9 1
48 18 9 9 1
48 19 9 9 1
48 20 9 9 1
50 1 5 9 0.5555555555555556
50 2 9 9 1
50 3 8 9 0.8888888888888888
50 4 9 9 1
50 5 9 9 1
50 6 9 9 1
50 7 9 9 1
50 8 7 9 0.7777777777777778
50 9 9 9 1
50 10 4 9 0.4444444444444444
50 11 8 9 0.8888888888888888
50 12 9 9 1
50 13 9 9 1
50 14 9 9 1
50 15 9 9 1
50 16 9 9 1
50 17 9 9 1
50 18 9 9 1
50 19 9 9 1
50 20 9 9 1
52 1 6 9 0.6666666666666666
52 2 6 9 0.6666666666666666
52 3 7 9 0.7777777777777778
52 4 8 9 0.8888888888888888
52 5 6 9 0.6666666666666666
52 6 6 9 0.6666666666666666
52 7 7 9 0.7777777777777778
52 8 6 9 0.6666666666666666
52 9 7 9 0.7777777777777778
52 10 6 9 0.6666666666666666
52 11 9 9 1
52 12 9 9 1
52 13 9 9 1
52 14 8 9 0.8888888888888888
52 15 7 9 0.7777777777777778
52 16 8 9 0.8888888888888888
52 17 9 9 1
52 18 9 9 1
52 19 8 9 0.8888888888888888
52 20 8 9 0.8888888888888888
57 1 3 9 0.3333333333333333
57 2 4 9 0.4444444444444444
57 3 4 9 0.4444444444444444
57 4 1 9 0.1111111111111111
57 5 5 9 0.5555555555555556
57 6 6 9 0.6666666666666666
57 7 4 9 0.4444444444444444
57 8 3 9 0.3333333333333333
57 9 5 9 0.5555555555555556
57 10 4 9 0.4444444444444444
57 11 6 9 0.6666666666666666
57 12 7 9 0.7777777777777778
57 13 6 9 0.6666666666666666
57 14 5 9 0.5555555555555556
57 15 7 9 0.7777777777777778
57 16 5 9 0.5555555555555556
57 17 3 9 0.3333333333333333
57 18 4 9 0.4444444444444444
57 19 4 9 0.4444444444444444
57 20 5 9 0.5555555555555556
60 1 6 9 0.6666666666666666
60 2 5 9 0.5555555555555556
60 3 8 9 0.8888888888888888
60 4 8 9 0.8888888888888888
60 5 9 9 1
60 6 9 9 1
60 7 9 9 1
60 8 8 9 0.8888888888888888
60 9 9 9 1
60 10 9 9 1
60 11 9 9 1
60 12 9 9 1
60 13 9 9 1
60 14 9 9 1
60 15 9 9 1
60 16 9 9 1
60 17 9 9 1
60 18 9 9 1
60 19 9 9 1
60 20 9 9 1
63 1 4 9 0.4444444444444444
63 2 4 9 0.4444444444444444
63 3 4 9 0.4444444444444444
63 4 4 9 0.4444444444444444
63 5 5 9 0.5555555555555556
63 6 4 9 0.4444444444444444
63 7 6 9 0.6666666666666666
63 8 5 9 0.5555555555555556
63 9 4 9 0.4444444444444444
63 10 6 9 0.6666666666666666
63 11 8 9 0.8888888888888888
63 12 7 9 0.7777777777777778
63 13 7 9 0.7777777777777778
63 14 8 9 0.8888888888888888
63 15 8 9 0.8888888888888888
63 16 7 9 0.7777777777777778
63 17 5 9 0.5555555555555556
63 18 9 9 1
63 19 9 9 1
63 20 9 9 1
64 1 5 9 0.5555555555555556
64 2 6 9 0.6666666666666666
64 3 4 9 0.4444444444444444
64 4 5 9 0.5555555555555556
64 5 5 9 0.5555555555555556
64 6 7 9 0.7777777777777778
64 7 7 9 0.7777777777777778
64 8 8 9 0.8888888888888888
64 9 9 9 1
64 10 9 9 1
64 11 9 9 1
64 12 9 9 1
64 13 8 9 0.8888888888888888
64 14 9 9 1
64 15 9 9 1
64 16 9 9 1
64 17 9 9 1
64 18 9 9 1
64 19 9 9 1
64 20 8 9 0.8888888888888888
70 1 5 9 0.5555555555555556
70 2 5 9 0.5555555555555556
70 3 7 9 0.7777777777777778
70 4 5 9 0.5555555555555556
70 5 3 9 0.3333333333333333
70 6 7 9 0.7777777777777778
70 7 8 9 0.8888888888888888
70 8 8 9 0.8888888888888888
70 9 7 9 0.7777777777777778
70 10 7 9 0.7777777777777778
70 11 8 9 0.8888888888888888
70 12 6 9 0.6666666666666666
70 13 5 9 0.5555555555555556
70 14 6 9 0.6666666666666666
70 15 5 9 0.5555555555555556
70 16 6 9 0.6666666666666666
70 17 7 9 0.7777777777777778
70 18 7 9 0.7777777777777778
70 19 8 9 0.8888888888888888
70 20 7 9 0.7777777777777778
72 1 3 9 0.3333333333333333
72 2 4 9 0.4444444444444444
72 3 3 9 0.3333333333333333
72 4 6 9 0.6666666666666666
72 5 3 9 0.3333333333333333
72 6 4 9 0.4444444444444444
72 7 4 9 0.4444444444444444
72 8 6 9 0.6666666666666666
72 9 7 9 0.7777777777777778
72 10 6 9 0.6666666666666666
72 11 5 9 0.5555555555555556
72 12 9 9 1
72 13 9 9 1
72 14 9 9 1
72 15 9 9 1
72 16 8 9 0.8888888888888888
72 17 9 9 1
72 18 8 9 0.8888888888888888
72 19 9 9 1
72 20 9 9 1
81 1 3 9 0.3333333333333333
81 2 3 9 0.3333333333333333
81 3 4 9 0.4444444444444444
81 4 5 9 0.5555555555555556
81 5 5 9 0.5555555555555556
81 6 1 9 0.1111111111111111
81 7 6 9 0.6666666666666666
81 8 5 9 0.5555555555555556
81 9 5 9 0.5555555555555556
81 10 2 9 0.2222222222222222
81 11 0 9 0
81 12 6 9 0.6666666666666666
81 13 3 9 0.3333333333333333
81 14 6 9 0.6666666666666666
81 15 4 9 0.4444444444444444
81 16 6 9 0.6666666666666666
81 17 5 9 0.5555555555555556
81 18 7 9 0.7777777777777778
81 19 3 9 0.3333333333333333
81 20 4 9 0.4444444444444444
82 1 4 9 0.4444444444444444
82 2 6 9 0.6666666666666666
82 3 8 9 0.8888888888888888
82 4 8 9 0.8888888888888888
82 5 8 9 0.8888888888888888
82 6 9 9 1
82 7 9 9 1
82 8 9 9 1
82 9 9 9 1
82 10 9 9 1
82 11 9 9 1
82 12 9 9 1
82 13 9 9 1
82 14 9 9 1
82 15 9 9 1
82 16 9 9 1
82 17 9 9 1
82 18 9 9 1
82 19 8 9 0.8888888888888888
82 20 9 9 1
83 1 3 9 0.3333333333333333
83 2 3 9 0.3333333333333333
83 3 2 9 0.2222222222222222
83 4 6 9 0.6666666666666666
83 5 7 9 0.7777777777777778
83 6 8 9 0.8888888888888888
83 7 8 9 0.8888888888888888
83 8 8 9 0.8888888888888888
83 9 7 9 0.7777777777777778
83 10 8 9 0.8888888888888888
83 11 7 9 0.7777777777777778
83 12 8 9 0.8888888888888888
83 13 8 9 0.8888888888888888
83 14 7 9 0.7777777777777778
83 15 8 9 0.8888888888888888
83 16 8 9 0.8888888888888888
83 17 8 9 0.8888888888888888
83 18 8 9 0.8888888888888888
83 19 8 9 0.8888888888888888
83 20 8 9 0.8888888888888888
88 1 7 9 0.7777777777777778
88 2 7 9 0.7777777777777778
88 3 9 9 1
88 4 9 9 1
88 5 9 9 1
88 6 8 9 0.8888888888888888
88 7 9 9 1
88 8 9 9 1
88 9 9 9 1
88 10 8 9 0.8888888888888888
88 11 9 9 1
88 12 9 9 1
88 13 9 9 1
88 14 9 9 1
88 15 8 9 0.8888888888888888
88 16 9 9 1
88 17 9 9 1
88 18 9 9 1
88 19 9 9 1
88 20 9 9 1
92 1 6 9 0.6666666666666666
92 2 3 9 0.3333333333333333
92 3 3 9 0.3333333333333333
92 4 1 9 0.1111111111111111
92 5 6 9 0.6666666666666666
92 6 3 9 0.3333333333333333
92 7 3 9 0.3333333333333333
92 8 3 9 0.3333333333333333
92 9 6 9 0.6666666666666666
92 10 5 9 0.5555555555555556
92 11 6 9 0.6666666666666666
92 12 5 9 0.5555555555555556
92 13 5 9 0.5555555555555556
92 14 6 9 0.6666666666666666
92 15 3 9 0.3333333333333333
92 16 4 9 0.4444444444444444
92 17 7 9 0.7777777777777778
92 18 3 9 0.3333333333333333
92 19 6 9 0.6666666666666666
92 20 4 9 0.4444444444444444
97 1 1 9 0.1111111111111111
97 2 2 9 0.2222222222222222
97 3 2 9 0.2222222222222222
97 4 2 9 0.2222222222222222
97 5 3 9 0.3333333333333333
97 6 1 9 0.1111111111111111
97 7 1 9 0.1111111111111111
97 8 2 9 0.2222222222222222
97 9 2 9 0.2222222222222222
97 10 1 9 0.1111111111111111
97 11 3 9 0.3333333333333333
97 12 1 9 0.1111111111111111
97 13 1 9 0.1111111111111111
97 14 1 9 0.1111111111111111
97 15 0 9 0
97 16 2 9 0.2222222222222222
97 17 1 9 0.1111111111111111
97 18 2 9 0.2222222222222222
97 19 1 9 0.1111111111111111
97 20 1 9 0.1111111111111111
98 1 7 9 0.7777777777777778
98 2 5 9 0.5555555555555556
98 3 8 9 0.8888888888888888
98 4 6 9 0.6666666666666666
98 5 8 9 0.8888888888888888
98 6 8 9 0.8888888888888888
98 7 6 9 0.6666666666666666
98 8 6 9 0.6666666666666666
98 9 8 9 0.8888888888888888
98 10 9 9 1
98 11 6 9 0.6666666666666666
98 12 8 9 0.8888888888888888
98 13 9 9 1
98 14 9 9 1
98 15 9 9 1
98 16 9 9 1
98 17 9 9 1
98 18 9 9 1
98 19 9 9 1
98 20 9 9 1
103 1 4 9 0.4444444444444444
103 2 6 9 0.6666666666666666
103 3 1 9 0.1111111111111111
103 4 4 9 0.4444444444444444
103 5 2 9 0.2222222222222222
103 6 1 9 0.1111111111111111
103 7 3 9 0.3333333333333333
103 8 3 9 0.3333333333333333
103 9 6 9 0.6666666666666666
103 10 3 9 0.3333333333333333
103 11 4 9 0.4444444444444444
103 12 4 9 0.4444444444444444
103 13 6 9 0.6666666666666666
103 14 6 9 0.6666666666666666
103 15 7 9 0.7777777777777778
103 16 6 9 0.6666666666666666
103 17 5 9 0.5555555555555556
103 18 6 9 0.6666666666666666
103 19 5 9 0.5555555555555556
103 20 5 9 0.5555555555555556
104 1 2 9 0.2222222222222222
104 2 2 9 0.2222222222222222
104 3 6 9 0.6666666666666666
104 4 6 9 0.6666666666666666
104 5 7 9 0.7777777777777778
104 6 6 9 0.6666666666666666
104 7 9 9 1
104 8 9 9 1
104 9 9 9 1
104 10 9 9 1
104 11 9 9 1
104 12 9 9 1
104 13 9 9 1
104 14 9 9 1
104 15 9 9 1
104 16 7 9 0.7777777777777778
104 17 9 9 1
104 18 9 9 1
104 19 8 9 0.8888888888888888
104 20 9 9 1
105 1 5 9 0.5555555555555556
105 2 3 9 0.3333333333333333
105 3 6 9 0.6666666666666666
105 4 6 9 0.6666666666666666
105 5 7 9 0.7777777777777778
105 6 8 9 0.8888888888888888
105 7 9 9 1
105 8 9 9 1
105 9 9 9 1
105 10 9 9 1
105 11 9 9 1
105 12 9 9 1
105 13 9 9 1
105 14 8 9 0.8888888888888888
105 15 9 9 1
105 16 9 9 1
105 17 9 9 1
105 18 9 9 1
105 19 3 9 0.3333333333333333
105 20 9 9 1
106 1 3 9 0.3333333333333333
106 2 7 9 0.7777777777777778
106 3 4 9 0.4444444444444444
106 4 6 9 0.6666666666666666
106 5 4 9 0.4444444444444444
106 6 5 9 0.5555555555555556
106 7 6 9 0.6666666666666666
106 8 7 9 0.7777777777777778
106 9 5 9 0.5555555555555556
106 10 5 9 0.5555555555555556
106 11 6 9 0.6666666666666666
106 12 4 9 0.4444444444444444
106 13 5 9 0.5555555555555556
106 14 8 9 0.8888888888888888
106 15 9 9 1
106 16 5 9 0.5555555555555556
106 17 5 9 0.5555555555555556
106 18 6 9 0.6666666666666666
106 19 6 9 0.6666666666666666
106 20 6 9 0.6666666666666666
108 1 2 9 0.2222222222222222
108 2 3 9 0.3333333333333333
108 3 3 9 0.3333333333333333
108 4 2 9 0.2222222222222222
108 5 2 9 0.2222222222222222
108 6 3 9 0.3333333333333333
108 7 5 9 0.5555555555555556
108 8 6 9 0.6666666666666666
108 9 3 9 0.3333333333333333
108 10 3 9 0.3333333333333333
108 11 4 9 0.4444444444444444
108 12 6 9 0.6666666666666666
108 13 3 9 0.3333333333333333
108 14 6 9 0.6666666666666666
108 15 6 9 0.6666666666666666
108 16 7 9 0.7777777777777778
108 17 6 9 0.6666666666666666
108 18 5 9 0.5555555555555556
108 19 5 9 0.5555555555555556
108 20 6 9 0.6666666666666666
109 1 7 9 0.7777777777777778
109 2 6 9 0.6666666666666666
109 3 7 9 0.7777777777777778
109 4 7 9 0.7777777777777778
109 5 5 9 0.5555555555555556
109 6 5 9 0.5555555555555556
109 7 7 9 0.7777777777777778
109 8 6 9 0.6666666666666666
109 9 7 9 0.7777777777777778
109 10 7 9 0.7777777777777778
109 11 8 9 0.8888888888888888
109 12 9 9 1
109 13 8 9 0.8888888888888888
109 14 8 9 0.8888888888888888
109 15 9 9 1
109 16 7 9 0.7777777777777778
109 17 8 9 0.8888888888888888
109 18 9 9 1
109 19 8 9 0.8888888888888888
109 20 8 9 0.8888888888888888
113 1 9 9 1
113 2 9 9 1
113 3 9 9 1
113 4 9 9 1
113 5 9 9 1
113 6 9 9 1
113 7 8 9 0.8888888888888888
113 8 7 9 0.7777777777777778
113 9 9 9 1
113 10 8 9 0.8888888888888888
113 11 9 9 1
113 12 9 9 1
113 13 9 9 1
113 14 9 9 1
113 15 9 9 1
113 16 8 9 0.8888888888888888
113 17 9 9 1
113 18 9 9 1
113 19 9 9 1
113 20 8 9 0.8888888888888888
116 1 2 9 0.2222222222222222
116 2 7 9 0.7777777777777778
116 3 7 9 0.7777777777777778
116 4 7 9 0.7777777777777778
116 5 7 9 0.7777777777777778
116 6 6 9 0.6666666666666666
116 7 8 9 0.8888888888888888
116 8 8 9 0.8888888888888888
116 9 7 9 0.7777777777777778
116 10 7 9 0.7777777777777778
116 11 9 9 1
116 12 8 9 0.8888888888888888
116 13 9 9 1
116 14 9 9 1
116 15 9 9 1
116 16 9 9 1
116 17 9 9 1
116 18 9 9 1
116 19 9 9 1
116 20 9 9 1
118 1 5 9 0.5555555555555556
118 2 5 9 0.5555555555555556
118 3 5 9 0.5555555555555556
118 4 7 9 0.7777777777777778
118 5 3 9 0.3333333333333333
118 6 7 9 0.7777777777777778
118 7 7 9 0.7777777777777778
118 8 9 9 1
118 9 8 9 0.8888888888888888
118 10 9 9 1
118 11 9 9 1
118 12 9 9 1
118 13 9 9 1
118 14 9 9 1
118 15 9 9 1
118 16 9 9 1
118 17 9 9 1
118 18 9 9 1
118 19 9 9 1
118 20 9 9 1
120 1 5 9 0.5555555555555556
120 2 5 9 0.5555555555555556
120 3 4 9 0.4444444444444444
120 4 4 9 0.4444444444444444
120 5 5 9 0.5555555555555556
120 6 6 9 0.6666666666666666
120 7 6 9 0.6666666666666666
120 8 7 9 0.7777777777777778
120 9 6 9 0.6666666666666666
120 10 7 9 0.7777777777777778
120 11 5 9 0.5555555555555556
120 12 7 9 0.7777777777777778
120 13 7 9 0.7777777777777778
120 14 8 9 0.8888888888888888
120 15 9 9 1
120 16 9 9 1
120 17 9 9 1
120 18 9 9 1
120 19 9 9 1
120 20 9 9 1
123 1 1 9 0.1111111111111111
123 2 4 9 0.4444444444444444
123 3 3 9 0.3333333333333333
123 4 2 9 0.2222222222222222
123 5 7 9 0.7777777777777778
123 6 7 9 0.7777777777777778
123 7 8 9 0.8888888888888888
123 8 8 9 0.8888888888888888
123 9 7 9 0.7777777777777778
123 10 7 9 0.7777777777777778
123 11 7 9 0.7777777777777778
123 12 3 9 0.3333333333333333
123 13 6 9 0.6666666666666666
123 14 7 9 0.7777777777777778
123 15 7 9 0.7777777777777778
123 16 7 9 0.7777777777777778
123 17 6 9 0.6666666666666666
123 18 6 9 0.6666666666666666
123 19 7 9 0.7777777777777778
123 20 7 9 0.7777777777777778
124 1 6 9 0.6666666666666666
124 2 6 9 0.6666666666666666
124 3 6 9 0.6666666666666666
124 4 6 9 0.6666666666666666
124 5 6 9 0.6666666666666666
124 6 7 9 0.7777777777777778
124 7 8 9 0.8888888888888888
124 8 7 9 0.7777777777777778
124 9 8 9 0.8888888888888888
124 10 6 9 0.6666666666666666
124 11 7 9 0.7777777777777778
124 12 8 9 0.8888888888888888
124 13 7 9 0.7777777777777778
124 14 7 9 0.7777777777777778
124 15 5 9 0.5555555555555556
124 16 9 9 1
124 17 5 9 0.5555555555555556
124 18 6 9 0.6666666666666666
124 19 8 9 0.8888888888888888
124 20 6 9 0.6666666666666666
125 1 6 9 0.6666666666666666
125 2 6 9 0.6666666666666666
125 3 2 9 0.2222222222222222
125 4 4 9 0.4444444444444444
125 5 6 9 0.6666666666666666
125 6 7 9 0.7777777777777778
125 7 9 9 1
125 8 9 9 1
125 9 9 9 1
125 10 9 9 1
125 11 9 9 1
125 12 9 9 1
125 13 9 9 1
125 14 9 9 1
125 15 9 9 1
125 16 9 9 1
125 17 9 9 1
125 18 9 9 1
125 19 8 9 0.8888888888888888
125 20 9 9 1
127 1 2 9 0.2222222222222222
127 2 3 9 0.3333333333333333
127 3 4 9 0.4444444444444444
127 4 3 9 0.3333333333333333
127 5 3 9 0.3333333333333333
127 6 7 9 0.7777777777777778
127 7 8 9 0.8888888888888888
127 8 6 9 0.6666666666666666
127 9 5 9 0.5555555555555556
127 10 4 9 0.4444444444444444
127 11 7 9 0.7777777777777778
127 12 7 9 0.7777777777777778
127 13 9 9 1
127 14 7 9 0.7777777777777778
127 15 8 9 0.8888888888888888
127 16 9 9 1
127 17 9 9 1
127 18 9 9 1
127 19 9 9 1
127 20 9 9 1
131 1 1 9 0.1111111111111111
131 2 4 9 0.4444444444444444
131 3 1 9 0.1111111111111111
131 4 2 9 0.2222222222222222
131 5 2 9 0.2222222222222222
131 6 3 9 0.3333333333333333
131 7 3 9 0.3333333333333333
131 8 3 9 0.3333333333333333
131 9 4 9 0.4444444444444444
131 10 5 9 0.5555555555555556
131 11 7 9 0.7777777777777778
131 12 6 9 0.6666666666666666
131 13 7 9 0.7777777777777778
131 14 7 9 0.7777777777777778
131 15 9 9 1
131 16 9 9 1
131 17 9 9 1
131 18 8 9 0.8888888888888888
131 19 9 9 1
131 20 9 9 1
132 1 8 9 0.8888888888888888
132 2 9 9 1
132 3 6 9 0.6666666666666666
132 4 9 9 1
132 5 9 9 1
132 6 9 9 1
132 7 9 9 1
132 8 9 9 1
132 9 9 9 1
132 10 9 9 1
132 11 9 9 1
132 12 9 9 1
132 13 9 9 1
132 14 9 9 1
132 15 9 9 1
132 16 9 9 1
132 17 9 9 1
132 18 8 9 0.8888888888888888
132 19 9 9 1
132 20 9 9 1
139 1 5 9 0.5555555555555556
139 2 6 9 0.6666666666666666
139 3 6 9 0.6666666666666666
139 4 6 9 0.6666666666666666
139 5 8 9 0.8888888888888888
139 6 8 9 0.8888888888888888
139 7 9 9 1
139 8 9 9 1
139 9 9 9 1
139 10 9 9 1
139 11 9 9 1
139 12 5 9 0.5555555555555556
139 13 9 9 1
139 14 9 9 1
139 15 9 9 1
139 16 9 9 1
139 17 9 9 1
139 18 8 9 0.8888888888888888
139 19 9 9 1
139 20 9 9 1
140 1 4 9 0.4444444444444444
140 2 6 9 0.6666666666666666
140 3 6 9 0.6666666666666666
140 4 9 9 1
140 5 6 9 0.6666666666666666
140 6 6 9 0.6666666666666666
140 7 7 9 0.7777777777777778
140 8 5 9 0.5555555555555556
140 9 6 9 0.6666666666666666
140 10 8 9 0.8888888888888888
140 11 9 9 1
140 12 7 9 0.7777777777777778
140 13 1 9 0.1111111111111111
140 14 4 9 0.4444444444444444
140 15 7 9 0.7777777777777778
140 16 7 9 0.7777777777777778
140 17 9 9 1
140 18 7 9 0.7777777777777778
140 19 1 9 0.1111111111111111
140 20 8 9 0.8888888888888888
145 1 8 9 0.8888888888888888
145 2 8 9 0.8888888888888888
145 3 9 9 1
145 4 8 9 0.8888888888888888
145 5 9 9 1
145 6 7 9 0.7777777777777778
145 7 9 9 1
145 8 8 9 0.8888888888888888
145 9 7 9 0.7777777777777778
145 10 9 9 1
145 11 9 9 1
145 12 9 9 1
145 13 9 9 1
145 14 8 9 0.8888888888888888
145 15 9 9 1
145 16 9 9 1
145 17 9 9 1
145 18 9 9 1
145 19 9 9 1
145 20 9 9 1
146 1 2 9 0.2222222222222222
146 2 0 9 0
146 3 6 9 0.6666666666666666
146 4 5 9 0.5555555555555556
146 5 3 9 0.3333333333333333
146 6 5 9 0.5555555555555556
146 7 5 9 0.5555555555555556
146 8 4 9 0.4444444444444444
146 9 4 9 0.4444444444444444
146 10 7 9 0.7777777777777778
146 11 5 9 0.5555555555555556
146 12 7 9 0.7777777777777778
146 13 8 9 0.8888888888888888
146 14 9 9 1
146 15 8 9 0.8888888888888888
146 16 9 9 1
146 17 9 9 1
146 18 9 9 1
146 19 9 9 1
146 20 9 9 1
148 1 3 9 0.3333333333333333
148 2 5 9 0.5555555555555556
148 3 4 9 0.4444444444444444
148 4 2 9 0.2222222222222222
148 5 4 9 0.4444444444444444
148 6 3 9 0.3333333333333333
148 7 6 9 0.6666666666666666
148 8 4 9 0.4444444444444444
